,cathegory,author,title,Publish date,article_content,images descriptions,sentiment
234,COP26,Joseph Lee,COP26: PM calls on nations to pull out the stops as draft agreement published,2021-11-10,"Prime Minister Boris Johnson is returning to the COP26 climate summit in Glasgow - urging nations to ""pull out all the stops"" to limit warming.
The first draft of an agreement setting out how countries will cut emissions to avoid temperature rises of above 1.5C has been published.
The agreement - or ""cover decision"" - sets out what negotiators hope will be the outcome of the COP26 talks.
It encourages richer countries to scale up support for poorer nations.
The seven-page draft agreement focuses on adaptation - helping countries deal with the effects of climate change - and finance, a controversial issue because poorer countries blame richer countries for not contributing enough.
The document says meeting the goal to limit global warming to 1.5C - which countries pledged to try to pursue under the Paris climate accord - needs meaningful and effective action in ""this critical decade"".
The agreement, which was published by the UK Cop26 presidency, will have to be negotiated and agreed by countries attending the talks.
Scientists have warned that keeping temperature rises to 1.5C - beyond which the worst impacts of climate change will be felt - requires global emissions to be cut by 45% by 2030 and to zero overall by mid-century.
The document may be just seven pages long but it attempts to steer COP26 towards a series of significant steps that will prevent global temperature rises going above 1.5C this century.
Perhaps the most important part of that is getting countries to improve their carbon cutting plans.
To that end this draft decision urges parties to ""revisit and strengthen the 2030 targets in their nationally-determined contributions, as necessary to align with the Paris Agreement temperature goal by the end of 2022"".
It will be interesting to see how countries such as China, India, Brazil and Saudi Arabia respond to this request to put new plans on the table by the end of next year.
There is some comfort for developing countries to see that their financial needs are recognised as countries are asked to mobilise climate finance ""beyond $100bn a year"" and the draft welcomes steps to put in place a much larger, though as yet unspecified, figure for support from 2025.
Loss and damage, an issue of key importance to the developing world, is included in the draft with encouragement to richer countries to scale up their action and support including finance for poorer nations.
The document also calls on countries to accelerate the phase out of coal and subsidies for fossil fuels - but has no firm dates or targets on this issue. Campaigners will welcome the inclusion and will hope it survives into the final text.
Despite the promises made at the summit so far, the planet is still heading for 2.4C of warming above pre-industrial levels, according to a report by Climate Action Tracker.
A global average temperature rise of just 2C could mean a billion people are affected by fatal heat and humidity, the Met Office has warned.
Ahead of his return to the summit, Mr Johnson said: ""Negotiating teams are doing the hard yards in these final days of COP26 to turn promises into action on climate change. There's still much to do.""
The prime minister said he would be meeting ministers and negotiators to hear about the progress made and where gaps must be bridged.
""This is bigger than any one country and it is time for nations to put aside differences and come together for our planet and our people,"" he said.
""We need to pull out all the stops if we're going to keep 1.5C within our grasp.""
A coalition of nations which are vulnerable to climate change, along with the US and European nations, is pressing for countries to submit action plans in the next year in line with limiting warming to 1.5C, and by 2023 to produce their long-term plans to meet the target.
The summit is still negotiating a deal that all 197 countries will agree on. But a series of side deals were announced last week:
With Wednesday named as transport day at COP26, the UK announced that new heavy goods vehicles sold from 2040 will need to have zero emissions.
Thirty countries have agreed to work together to increase the use of zero emissions vehicles, while plans for ""green shipping corridors"" to help a shift towards zero-emissions vessels are also due to be unveiled.
Another 14 states which are responsible for more than 40% of global aviation emissions have committed to a new decarbonisation target.
But the UK's Transport Secretary Grant Shapps said travel, including flying, should be ""guilt-free"" and said the government did not see aviation as ""the ultimate evil"".
He told the Daily Telegraph that changes to how we live our lives should not mean ""the inability to go and visit you friends and family and do business"".
Attendees at COP26, including the prime minister, have faced criticism for using planes for short journeys to and from the conference.
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['More on Climate Change bottom strapline', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
235,General,BBC News,Title of article,2021-11-10,"Taking pebbles from the beach ""disrupts nature"" and can lead to flooding and coastal erosion, according to experts.
Currently Â£1,000 fines can be issued for removing pebbles from the coastline.
John Barlow, senior lecturer in Applied Geomorphology at the University of Sussex, said: ""By removing pebbles you could affect the ability of the beach to defend coastal areas from wave attack.""
You can find stories by other young people on the BBC Young Reporter website.","['Keziah with friends', 'Derry schoolgirl Roisin reveals how she has adjusted to life after having a stroke.', '', 'Brian Wilson', 'A composite image of a woman and a township', 'Stella Morris', 'Mercedes Gleitze', 'Brussels protest', 'One-minute World News summary', 'Wildfires', 'A person in a hazmat suit sprays disinfectant', 'Jacinda Ardern']",2
236,COP26,Steffan Messenger,Climate change: Corporate mass tree planting 'damaging' nature,2021-11-10,"Large firms buying up farms in rural Wales to plant trees have been accused of using the land to ""offset their guilt"" over emissions.
Thomas Crowther, an Earthshot Prize finalist, also warned mass planting of the same type of tree on swathes of land could be ""dangerous"" for nature.
Recently a number of west Wales' farms have been bought by investment companies for tree planting schemes.
The scientist has urged companies to be socially and ecologically responsible.
Greater effort to conserve a wide variety of ecosystems is needed to meet climate change goals, and people from the areas had to be involved, he said.
Moves by large-scale investment companies to buy up family farms - in an attempt to offset carbon emissions - have led to fears whole communities could be ""destroyed"".
Prof Crowther, who grew up in Prestatyn, Denbighshire, is a professor of ecosystem ecology at ETH Zurich University in Switzerland and also chairs an advisory board for the United Nations on ecosystem restoration.
He warned blanket planting of trees was ""hugely threatening"".
""This is not about offsetting your guilt, that would be an absolutely devastating step for climate change,"" he said.
Speaking at COP26 in Glasgow, Prof Crowther said the loss of biodiversity was arguably a bigger threat to the planet than climate change.
""If we save the climate but we lose nature that's still an unliveable planet,"" said the scientist, who studied at Cardiff University.
He said it had become increasingly clear that efforts to limit the rise in global temperatures to 1.5 degrees depended on doing much more to restore the natural world.
Prof Crowther's post-doctoral research made headlines when it estimated there were approximately 3.04 trillion trees on Earth - 46% fewer than at the onset of agriculture about 12,000 years ago.
It sparked the Trillion Tree campaign which is being ""very prominently discussed"" at COP26.
Although Prof Crowther emphasised it was important people ""understand that we're not just talking about planting trees"".
""In the vast majority of cases, what we're really going to be doing is protecting large areas of land, we need to protect a third of the land surface so that nature can recover and naturally grow,"" he added.
This video can not be played
A recent report by environment regulators in Wales found that almost half of the country's protected sites for nature were left unmonitored due to lack of funds.
Where information was held, Natural Resources Wales said 60% of sites were in ""unfavourable condition"".
Prof Crowther said this ""absolutely"" needed to be sorted out and that technology and online platforms could help with monitoring.
His own - Restor - which aims to connect restoration projects from around the world to increase the impact of their efforts, was shortlisted in the nature conservation category for the Earthshot Prize.
People wanting to start their own projects can also use the site to find others with the expertise needed, the aim being to ""make an economically sustainable, global restoration movement"".
The Earthshot Prize was devised by Prince William to reward innovations that could help save the planet.
Prof Crowther said the experience had been ""an absolute whirlwind"".
""Prince William has been so supportive, he's actually working with us to support all of these efforts.
""It's not just that you're finalists and well done you, they're committed to helping us ensure that we succeed in the long term because that's what the world needs.""
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['More on Climate Change bottom strapline', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
237,General,BBC News,Title of article,2021-11-10,"Sailor Dona Bertarelli tells BBC Sport's Alex Capstick about Spindrift racing's attempt to sail around the world in record time, without fossil fuels.
It is the fourth attempt on board the vessel that has been renamed Sails of Change for their mission.
READ MORE: 'Climate crisis urgent' - Olympian Mills","['Steven Gerrard', 'female football fans', 'Jack Harrison of Leeds Utd', 'Khan and Brook', 'Kieran Reilly', 'Jurgen Klopp', 'David Moyes', 'Ralf Rangnick', 'Steven Gerrard', 'Pep Guardiola', 'Thomas Tuchel', '']",1
238,Climate change,Andrew Harding,Cape Town's Day Zero: 'We are axing trees to save water',2021-11-10,"Cutting down trees to save a city from drought might seem like an unlikely plan, but that is exactly what the South African city of Cape Town is doing, soon after it became the first global city to come close to running out of water.
It is three years since it edged dangerously towards what was described as ""Day Zero"" - the moment when some four million inhabitants would be left without water. 
Its existential crisis was triggered by a severe and unanticipated drought that turned all the local reservoirs into dustbowls.
Today, dozens of teams armed with chainsaws are seeking to protect those reservoirs in an unusual manner - by chopping down tens of thousands of trees on the mountains surrounding them. 
It is a furiously ambitious, and oddly counter-intuitive battle to limit the impact of climate change.
On a recent morning, high above a thick layer of mist, two workers abseiled down a steep ravine to remove several isolated pine trees in an area that was littered with stumps.
""The pines are not indigenous to this area. They use up so much water - much more water than indigenous plants. This is the green infrastructure that we need to fix,"" explained Nkosinathi Nama, who is co-ordinating the work for The Nature Conservancy on behalf of the Greater Cape Town Water Fund.
The non-indigenous pine trees, initially brought into the region for the timber industry, have spread fast across the mountains, crowding out the local, far more resilient, and less thirsty flora in Cape Town's catchment areas. 
The pines, and other alien species like the eucalyptus, are now responsible for consuming an estimated 55 billion litres of water per year - equivalent to two to three months of the city's annual consumption. 
""One of the lessons of Day Zero is that our water catchment areas need to be rehabilitated and restored so that they are resilient,"" he said. 
The initial five-year project is just one of many responses to Cape Town's 2018 water crisis, as scientists and administrators seek to learn from the experience.
As well as protecting and diversifying the city's water sources - including tapping into underground aquifers and installing desalination plants - experts have also been studying how humans responded to the threat of Day Zero in terms of water-usage.
""We underestimate the ability of citizens to adapt to a crisis,"" said Dr Kevin Winter, an environmental expert at the University of Cape Town.
He points out that the city's water consumption nearly halved in the space of just three weeks in early 2018, from roughly 780 megalitres per day to under 550, before sinking even lower. An extraordinary display of public unity.
""People got really scaredâ¦ And it had the desired effect,"" he said.
Siyabonga Myeza, a community activist working for the Environmental Monitoring Group in the Khayelitsha township outside Cape Town, agrees: ""Fear works.
""That thought of running out of water as a city was quite tragic and very scary and the city did quite well at preaching the message of saving water, and we halved our water use. 
""But in the long term we probably need a more holistic shift of mindset."" 
In the years since then, perhaps inevitably, water usage has increased in Cape Town.
But it remains far below the peak, set back in 2014, of 1.2 billion litres per day.
The experience of being forced to save water, or face fines or other penalties, has clearly left a lasting impression on many households.
Other lessons include a greater appreciation of the role of agriculture in water management - in South Africa, as in many parts of the world, approximately 70% of water reserves are used to irrigate farmland. 
Around Cape Town, farmers agreed to stop using municipal water completely for several months.
The Day Zero crisis also emphasised the increasingly unpredictable nature of weather patterns in an era of climate change. 
By the end of 2018, Cape Town had received more rain than average. Just not during the usual seasons.
But while there is growing confidence that the Western Cape province is now in a much stronger position to cope with future droughts, there is little evidence that other parts of South Africa have learnt the same lessons.
In the far poorer Eastern Cape province, where farmers are struggling to cope with their own devastating seven-year-long drought, the heavily populated Nelson Mandela Bay area is facing acute water shortages that are widely blamed on years of mismanagement and corruption, and a failure to maintain vital water infrastructure.
""Fortunately, the leadership of Cape Town rose to the occasion. They did everything andâ¦ carried the people with them and as a consequence it helped them to overcome the problem,"" said Mkhuseli Jack, a businessman and opposition politician in the city of Gqeberha.
""Here it's the other way round because this place is led by very mediocre leaders. People have reached a stage where they won't believe anything politicians are saying here.""
Gqerberha is now trying to focus minds by warning that its own Day Zero may arrive within months, while the taps have already run dry in some smaller towns in the province, and many neighbourhoods are dependent on irregular water truck deliveries made by a local charity.
""We've had no water for two days. I'm worried about the future because it's going to be worse and worse. Because [the government] doesn't look after us,"" said Elsie Hanse, 53, who lives in a shack in a township on the edge of Graaff-Reinet, a town in the Eastern Cape.
""They built us some toilets here, but we can't use them because there's no water.""
This video can not be played
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['More on Climate Change bottom strapline', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
239,General,BBC News,Title of article,2021-11-10,"Canadaâs Prime Minister Justin Trudeau told the world at COP26 that Canada is warming twice as fast as the rest of the world. 
As part of the Life at 50C season, the BBC has been to Lytton, Canada, which saw the highest-ever temperature recorded above the latitude of 50 degrees north. 
It was recorded during a severe heatwave that struck the Pacific North-West in late June, when temperatures reached 49.6 degrees.","['Man on top of train', 'Woman with hand on her forehead in Kuwait', '', 'Brian Wilson', 'A composite image of a woman and a township', 'Stella Morris', 'Mercedes Gleitze', 'Brussels protest', 'One-minute World News summary', 'Wildfires', 'A person in a hazmat suit sprays disinfectant', 'Jacinda Ardern']",3
240,Climate change,BBC News,Environmental Photographer of the Year 2021 winners revealed,2021-11-10,"Spanish photographer Antonio AragÃ³n Renuncio has won Environmental Photographer of the Year 2021 for his photo of a child sleeping inside a house destroyed by coastal erosion on Afiadenyigba beach in Ghana.
The image, entitled The Rising Tide Sons, highlights the rising sea levels in West African countries, which are forcing thousands of people to leave their homes.
Mr Renuncio receives Â£10,000 prize money.
The Environmental Photographer Of The Year competition, now in its 14th year, showcases some of the world's most inspirational environmental photography.
The award celebrates humanity's ability to survive and innovate and supports the calls to action in the United Nations Sustainable Development Goals.
The winners of this year's competition were revealed at the UN Climate Change Conference (COP26) in Glasgow.
Here are other winning photos from the competition, with descriptions by the photographers.
""A boy fighting fires in a forest near his home in Yamuna Ghat, New Delhi, India.""
""Flocks of sheep search for grass amongst the cracked soil.
""Extreme droughts in Bangladesh have created hardships for all living beings.""
""A photobioreactor at Algalif's facilities in Reykjanesbaer, Iceland, produces sustainable astaxanthin using clean geothermal energy.
""Iceland has shifted from fossil fuels to electricity and heat from renewable sources.""
""A boy takes in air from the plant, with a sand storm brewing in the background, in an artistic impression of the changes to come.""
""Irregular monsoon seasons and droughts cause algal bloom on the Damodar river, India.
""Algal blooms prevent light from penetrating the surface and prevent oxygen absorption by the organisms beneath, impacting human health and habitats in the area.""
""A house is submerged by the flooding of the River Panaro in the Po Valley due to heavy rainfall and melting snow.""
Here are some of the shortlisted images in the competition.
""Algae accumulates and fills the whole river, then many boatmen come here to fish in the water.
""The river is filled with green moss.""
""Vietnamese workers sit, surrounded by thousands of incense sticks in Quang Phu Cau, a village in Hanoi, Vietnam, where the sticks have been traditionally made for hundreds of years.
""Incense plays an important role in the spiritual lives of Vietnamese people.""
""I met this California sea lion pup with a hook embedded in his mouth.
""For the duration of the dive he stayed near me and seemed to be asking for help.""
""The Nemo's Garden represents an alternative system of agriculture especially dedicated to areas where environmental conditions make plant growth extremely difficult.
""This self-sustainable project aims at making underwater farming a viable eco-friendly solution to counteract the increasing climate-change pressures on our future.""
""I captured this picture from a plastic-recycling factory in Chittagong, Bangladesh.
""Plastic recycling helps protect the environment from plastic pollution and greenhouse gas emissions.""
""Wind-energy turbines, moments before the sun sets over the mountains on a cloudy day.""
""A good management of forests is fundamental to contain climate change.
""This is a chestnut forest managed by wood owners in a sustainable way.
""They cut trees in polygonal areas and in the middle of them they leave smaller areas with trees that help the natural reforestation of the wood.""
All pictures are subject to copyright.","['Workers sit surrounded by thousands of incense sticks', 'line', 'A sea lion pup with a hook in its mouth', 'line', 'Divers swim around underwater pods, which are an alternative system of agriculture', 'line', 'A child sits on a ladder surrounded by plastic bottles at a plastic-recycling factory in Chittagong, Bangladesh', 'line', 'Wind turbines next to a misty mountainous area in Portugal', 'line', 'An aerial view of a forest management technique in Sierra de BÃ©jar, Salamanca, Spain', 'line']",2
241,COP26,Debbie Jackson,The Barras banter on COP26 and climate change,2021-11-09,"It would be hard to find a place more ""Glasgow"" than The Barras.
The area, east of Glasgow city centre, houses the popular weekend market and the iconic music venue the Barrowland ballroom. 
It has survived war, fire and redevelopment. Time will tell if the area, and the city will survive the threat on everyone's minds - climate change.
It is less than three miles from the high-level talks of COP26, and the people in the cafes, stores and event spaces are all talking about it.
Bill's Tool Store is a landmark at The Barras. It has been in Alan's family for three generations and celebrates its 75th anniversary next year.
He wants to see promises kept from COP26.
He said: ""I think what they are trying to do is great... if they carry it through. If this is the 26th one, what has happened at the other 25 that hasn't worked?
""I think the penny's dropped for us at home, looking at all the plastics we use has certainly made my family realise we have to do more.""
He says he would like to cut the carbon footprint of the business, but it is tricky.
""The problem we have is that more than 90% of what people buy from us is made in China or India and until these countries do something, we are stuck,"" he said. 
""We don't manufacture enough in this country now so we have no control over it. We try to buy local and British whenever we can but there are very few suppliers.""
Parked up in his tour bus outside the Barrowland ballroom music venue is driver Keith Pittaway.
He knew COP26 was going on in Glasgow when he drove the band Easy Life into town for their gig.   
Keith says a lot of the acts he transports are worried about the climate and the consequences for touring.
But he can't see a solution yet.  
""Don't forget you are sitting on a 26-ton bus that's using a gallon per ten miles, but you don't mind that because you've got to get from A to B. 
He adds: ""These things are never going to run at 700km a day on electric. It is just not going to happen.""
Saint Luke's is a newer music venue and bar around the corner from the Barrowland. It has quickly cemented itself in the hearts of Glaswegian music lovers. It had hoped to enjoy a COP26 boost but people have been avoiding the city.
Owner Michael thinks it has been a missed opportunity.
""Messaging has told people to stay away from the city but I think that's a mistake. I think they should have been embracing the event and the visitors. People make Glasgow but nobody is in Glasgow to make it.""
He thinks a lot of Glaswegians have felt a bit detached from what is going on at the COP26 conference.
""We had a fringe festival called Beyond The Green over the weekend to do with sustainability and building products. But we put everything on ourselves. I think they have missed a trick in not getting everybody else in the city involved.""
Reeta Fashions is another Barras institution, outfitting the brides of Glasgow for the past 70 years. 
Owner Sheran is proud her city has been hosting COP26 and took her 10-year-old daughter to the climate rally last weekend. 
""She knows all about climate change, they have been learning about it at school and I think it's important for her to understand. I think it's really positive for the city.
""Although the big motorcades were a bit uncomfortable to see, because that doesn't really represent climate change.""
Sheran is aware of the damage the fashion industry does to the environment and is happy to see her industry changing.
""A lot of our suppliers are changing the way the fabrics are being made, to make them more environmentally friendly, which is great to see.""
Denise dishes out ""rolls and sausage and banter"" in the east end of the city. The only thing she has noticed about COP26 being in town is that the city and even the Barras has been quiet, even at the weekend when it's usually the busiest time.
""For my kids and their kids I worry about climate change,"" she says. ""It upsets me to see billionaires going into space when there's so much more that can be done to make things better on this planet.
""I know this is down to all of us so I am a big recycler. I buy all the different recycling bags from the council to make sure we recycle properly.""
Unbeknown to the locals, some COP26 activity is merely metres away from them. Around the corner from Dengy's, in the Pipe Factory venue,  a session is exploring how to get more women into the COP negotiations.
Georgia Elliot-Smith is a former UNESCO special junior envoy for youth and the environment. She is part of a a group called She Changes Climate that is trying to see at least 50% representation of women at the top table of climate negotiations - 90% at the moment are male.
She said: ""We've had 25 previous COPs and yet carbon emissions are still increasing - we feel we need a different mentality, a different perspective, some diversity to come up with different solutions because what we have been doing isn't working.
""We wanted to be real and part of the community and to bring people into a different Glasgow - to bring women from all over the world together to see what we can do."" 
Information about BBC links to other news sites
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['More on Climate Change bottom strapline', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
242,Climate change,BBC News,Swimmers in Cleethorpes want action over sewage in sea and rivers,2021-11-09,"Swimmers and paddleboarders say they have seen a growing amount of ""sewage, wipes and sanitary products"" in the rivers and sea around Lincolnshire.
One group in Cleethorpes said the issue is becoming ""more prevalent"" and called for tighter controls on pollution.
Regional water supplier Anglian Water said it was not aware of any recent sewage discharges in the area.
MPs have agreed water companies should be ""forced"" to be more proactive in improving water quality.
More stories from Yorkshire and Lincolnshire
Paddleboarders around Cleethorpes said there had been 21 pollution alerts in the area and 16 more along the coast at Humberston, an increase on last year.
Instructor Caroline Carr said: ""We were doing an evening paddleboard session in the sea at Brighton Slipway [in Cleethorpes], and sewage and wipes and sanitary products were visible.""
Andrew Johnson, who swims or paddleboards in the River Humber every week, said he believes water companies should do more to protect the environment.
Anglian Water said it was not aware of any sewage discharge in the area but said it had seen ""storm related activity"" following heavy rainfall in the area.
A spokesperson said ""these discharges would have been predominantly rain water"" and any activity was ""in line with out permits"".
The Environment Agency allows water utilities to release sewage into rivers and streams after extreme weather events, such as prolonged heavy rain.
This protects properties from flooding and prevents sewage from backing up into streets and homes.
On Monday MPs voted to back tougher regulation, though some say the proposals do not go far enough.
Cleethorpes MP Martin Vickers said while government bodies can enforce existing legislation, it ""clearly needs stepping up"", adding that water companies and regulators must be ""forced"" to be more proactive in order to make a difference to water quality.
Anglia Water added that it did not believe the existing permits were ""fit for purpose"" and called for increased funding to tackle the problem of overloaded sewers and other environmental improvements.
The Department for Environment, Food and Rural Affairs said the amount of sewage pumped into the rivers and sea is ""unacceptable"", adding: ""We are the first government to take action on this, but it won't be solved overnight and will need significant investment.""
Follow BBC East Yorkshire and Lincolnshire on Facebook, Twitter, and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk.
Information about BBC links to other news sites
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Presentational grey line', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
243,Climate change,Victoria Gill,Ocean's climate change 'buffer' role under threat,2021-11-09,"Researchers studying the ocean at depths of up to 6km have found that climate change has a ""worrying"" effect on its ability to lock away carbon. 
The latest discovery comes from the International ""i-Atlantic"" project. 
It has revealed that - if global temperatures increase to levels predicted - the ocean will not be able to provide what is currently Earth's largest long-term carbon store.    
One third of the carbon dioxide in our atmosphere dissolves in the ocean.Â 
It therefore acts as an important buffer against rising temperatures.
Carbon is one of the chemical elements in the key planet-warming gas carbon dioxide (CO2). When that gas dissolves in the ocean, it is taken up by marine plants and animals becomes part of an ocean cycle that results in some of it being locked into the deep ocean mud for centuries.
Billions of tonnes of carbon is buried in the deep ocean's muddy floor. But this latest research shows that this cycle is disrupted by rising ocean temperatures. 
The study revealed a ""cycle of warming""; ocean temperature rise causes more of this buried carbon to be released as CO2, where it can contribute to yet more global warming.
In experiments carried out from the Spanish research vessel Sarmiento de Gamboa, scientists used tethered, robotic sample collectors to bring tubes of seafloor mud into their ocean laboratories. 
They then incubated those samples at deep ocean temperatures that are currently predicted for the end of this century. 
""This deep 'abyssal' ocean covers 60% of our planet and we're finding that, under higher temperatures, we can store less carbon in these places,"" said Prof Murray Roberts from the University of Edinburgh. 
""The ecosystems are turning the carbon over faster. They're running at a higher temperature more quickly, and they're going to release more carbon in the future.""
Prof Roberts said these experiments, which were led by Prof Andrew Sweetman's team at Edinburgh's Heriot-Watt University, showed that human activity had changed the ""very nature"" of the vast ocean. 
""As well as our carbon emissions, the ocean has absorbed over 90% of global heating,"" he explained. ""And if we don't understand [the impact of this] well enough, we can't make the most accurate models in the future.""
The need to understand more about the ocean's response to climate change, he added, was being brought into sharp focus by the negotiations at the COP26 climate summit - about how global leaders tackle the crisis. 
The same research project, funded by the European Commission, recently discovered  a dozen new ocean species in the Atlantic.  
Professor Daniela Schmidt, from the University of Bristol, who was not involved in this research, and who studies the causes and effects of climate change in the ocean, told BBC News: ""It's often said that we know more about the surface of the Moon than we do about the deep ocean, and it's true. 
""It's the largest habitat on Planet Earth.""
Because it's so vast, and so poorly understood, Prof Schmidt added, ""the worry is that we'll start destroying those ecosystems - and perturb all these vital processes - that we really don't understand"".
Follow Victoria on Twitter
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Deep sea floor with sample collector machinery', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",3
244,Climate change,BBC News,Llanbedr bypass: Axed Gwynedd road plan to cost Â£1.7m,2021-11-09,"A scrapped bypass road project cost taxpayers nearly Â£1.7m, new figures have revealed.
Last week, the Welsh government axed plans for the Â£14m bypass in Llanbedr, Gwynedd. 
Having already been granted planning permission last year, after 60 years of lobbying, the withdrawal sparked accusations of ""betrayal"".
The Welsh government pulled the plug following advice from a committee of transport and climate experts. 
Calls for the one-mile (1.5km) Llanbedr access road date back decades and it was hoped the road would cut traffic through the Snowdonia village by 90%, while improving access to the nearby aerospace centre, according to the Local Democracy Reporting Service.
The decision is part of an ongoing review of Welsh government road projects and came after a panel concluded the road was likely to increase carbon emissions.
Responding to a written question by Member of the Senedd Natasha Asghar, deputy climate change minister Lee Waters confirmed the spend on the Gwynedd Council-led project was set to reach Â£1.67m.
He added: ""To date, Â£1.472m has been provided to Gwynedd Council for this scheme.
""We await a further claim from the council for costs incurred up to the decision not to proceed with the scheme, which we estimate to be around Â£200,000.""
Ms Asghar, a Conservative, said: ""Motorists were hoping this road would be the answer to their prayers and end traffic jams and long commutes in the area, but sadly Labour ministers have decided to let them carry on suffering.
""I find it astounding and appalling that this huge amount of taxpayer cash has been poured down the drain and there is absolutely nothing to show for it in north Wales.""
Mr Waters said he had asked officials to work with the council to commission Transport for Wales to develop an alternative package for consideration.
Gwynedd Council has been asked to comment.
Ricky Gervais chats acting and what his fans mean to him
Join Andi and Miquita Oliver on the journey of a lifetime","['Britannia Bridge', 'A composite image of a woman and a township', 'Protester in Saxony', 'Sub-sea cable inside', 'Still of actress in Romania trafficking documentary', 'A man wearing a mask and coat walks past a building bearing the Olympics logo', 'Srikanth Bolla standing in front of a microphone', 'Dulcie Cowling', 'A doughnut', 'Inside a houseboat on Dal Lake, Kashmir', 'Ricky Gervais', 'Andi and Miquita Oliver']",1
